"X","file","feature","mc","vc","var","fid","context"
1,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0922800047112557,0.0499865394382976,"V1","cache/CG_chr1_fea_A1.csv","CG"
2,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0795369051343875,0.0441699190112229,"V2","cache/CG_chr1_fea_A1.csv","CG"
3,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0749830400968454,0.0426120196853619,"V3","cache/CG_chr1_fea_A1.csv","CG"
4,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0734075433673354,0.0415780840724116,"V4","cache/CG_chr1_fea_A1.csv","CG"
5,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0748845615994914,0.0429847880750808,"V5","cache/CG_chr1_fea_A1.csv","CG"
6,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0744715854487727,0.0432088411712967,"V6","cache/CG_chr1_fea_A1.csv","CG"
7,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0767065121702645,0.0448228583428422,"V7","cache/CG_chr1_fea_A1.csv","CG"
8,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0768346557961517,0.0443681254769318,"V8","cache/CG_chr1_fea_A1.csv","CG"
9,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0869834800460602,0.0506992467044961,"V9","cache/CG_chr1_fea_A1.csv","CG"
10,"largedata/COMET_CHG/JRA1/chr1.txt","exon1st",0.0990629860631602,0.056265394267873,"V10","cache/CG_chr1_fea_A1.csv","CG"
11,"largedata/COMET_CHG/JRA1/chr1.txt","exonlast",0.0684262212348272,0.038938683322164,"V1","cache/CG_chr1_fea_A1.csv","CG"
12,"largedata/COMET_CHG/JRA1/chr1.txt","exonlast",0.0635787065388602,0.0366555975706887,"V2","cache/CG_chr1_fea_A1.csv","CG"
13,"largedata/COMET_CHG/JRA1/chr1.txt","exonlast",0.06254736082412,0.035628832449918,"V3","cache/CG_chr1_fea_A1.csv","CG"
