geneid,taxa,wbar
AC152495.1_FG012,maize,1
AC152495.1_FG012,teosinte,1.25
AC155390.2_FG002,maize,4.40772946859903
AC155390.2_FG002,teosinte,4.27989130434783
AC155624.2_FG006,maize,3.33414937880074
AC155624.2_FG006,teosinte,2.19626569844268
AC155624.2_FG011,maize,9.76874713759686
AC155624.2_FG011,teosinte,5.62656035319765
AC165178.2_FG004,maize,1.90841025776242
AC165178.2_FG004,teosinte,2.35614773258532
AC166636.1_FG007,maize,1.52632522589899
AC166636.1_FG007,teosinte,1.58244680851064
AC166636.1_FG008,maize,9.05417128042592
AC166636.1_FG008,teosinte,2.95688185140073
AC166636.1_FG009,maize,20.2004461800547
AC166636.1_FG009,teosinte,9.75125271060513
AC177833.2_FG001,maize,2.51522350715826
AC177833.2_FG001,teosinte,2.24886809362524
AC177850.2_FG005,maize,2
AC177897.2_FG002,maize,4.79088471849866
AC177897.2_FG002,teosinte,3.30361930294906
AC177899.2_FG009,maize,2.49749209516975
AC177899.2_FG009,teosinte,3
AC177899.2_FG012,maize,0.578767123287671
AC177899.2_FG012,teosinte,0.578767123287671
AC177908.3_FG002,maize,15.3377828893607
AC177908.3_FG002,teosinte,31.9496336996337
AC177924.2_FG001,maize,7.88448403029701
AC177924.2_FG001,teosinte,4.16573471206657
AC177924.2_FG003,maize,1.46043165467626
AC177926.2_FG003,maize,1.40493098032525
AC177926.2_FG003,teosinte,2.5
AC177936.6_FG008,maize,1
AC177936.6_FG008,teosinte,1
AC177946.2_FG004,maize,1.94286061843085
AC177946.2_FG004,teosinte,1
AC185415.3_FG005,maize,11.4700408690258
AC185415.3_FG005,teosinte,8.20320855614973
AC185588.2_FG002,maize,2.36487462192936
AC185588.2_FG002,teosinte,6.83856652411198
AC185593.3_FG003,maize,1.25810473815461
AC185593.3_FG003,teosinte,1.25
AC185611.3_FG001,teosinte,0.753786028334147
AC185655.3_FG004,maize,0.685774946921444
AC185655.3_FG004,teosinte,1
AC185655.3_FG005,maize,4.18172436864033
AC185655.3_FG005,teosinte,2.97465720098127
AC186231.4_FG002,maize,6.91606237817947
AC186231.4_FG002,teosinte,6.85351234226388
AC186322.4_FG003,maize,3
AC186322.4_FG005,maize,2.30861782301654
AC186322.4_FG005,teosinte,3.46827215309601
AC186417.3_FG004,maize,2.73098965781781
AC186417.3_FG004,teosinte,3.0847642040552
AC186424.4_FG009,teosinte,1.06366168277033
AC186506.3_FG001,maize,4.10921932080273
AC186506.3_FG001,teosinte,2.9374019992549
AC186519.4_FG002,maize,1
AC186519.4_FG002,teosinte,1
AC186602.4_FG003,maize,4.66799565145464
AC186602.4_FG003,teosinte,4.44529262086514
AC186603.6_FG003,maize,3.1581628671081
AC186603.6_FG003,teosinte,0.931201151789387
AC186606.4_FG003,maize,2.41970577672426
AC186606.4_FG003,teosinte,2.09640364761393
AC186656.4_FG012,maize,0
AC186656.4_FG012,teosinte,0.25
AC187212.3_FG011,teosinte,1.64093767867353
AC187262.4_FG007,maize,3.47501859842285
AC187262.4_FG007,teosinte,2.31996354709121
AC187843.3_FG006,maize,2.06428236298305
AC187843.3_FG006,teosinte,2.53773162695438
AC187891.3_FG006,maize,2.4751803911045
AC187891.3_FG006,teosinte,1.62918384197957
AC187899.3_FG002,maize,2.5585798816568
AC187899.3_FG002,teosinte,1
AC188722.3_FG002,maize,1.52163632653143
AC188745.3_FG001,maize,1
AC188745.3_FG001,teosinte,1
AC189796.3_FG004,maize,2.69619546902695
AC189796.3_FG004,teosinte,4.78412217777533
AC190498.1_FG007,maize,1.41384767556874
AC190630.2_FG001,maize,1.89963293352834
AC190630.2_FG001,teosinte,1
AC190788.2_FG005,maize,3.97851279575085
AC190788.2_FG005,teosinte,3.47851279575085
AC190792.2_FG006,maize,0.839975845410628
AC190792.2_FG006,teosinte,0.786634460547504
AC190799.2_FG010,maize,0.768227909222598
AC190809.2_FG002,maize,1.2
AC190809.2_FG002,teosinte,1
AC190999.2_FG004,maize,25.9693117510575
AC190999.2_FG004,teosinte,27.9978203411997
AC191009.3_FG004,maize,3.20584766924186
AC191009.3_FG004,teosinte,2.85275618398397
AC191073.2_FG003,maize,1.92168335460958
AC191073.2_FG003,teosinte,1.91666666666667
AC191113.2_FG002,maize,1.96192761980955
AC191113.2_FG002,teosinte,1.67680519906219
AC191115.3_FG002,maize,27.0913096915458
AC191115.3_FG002,teosinte,23.4749950027945
AC191283.3_FG004,maize,2.94711322001375
AC191283.3_FG004,teosinte,3.09026047173017
AC191575.2_FG001,maize,8.44133835515141
AC191575.2_FG001,teosinte,5.55065596596542
AC191708.3_FG001,maize,1.14315406599117
AC191708.3_FG001,teosinte,1
AC191961.3_FG009,maize,0.51908396946565
AC191961.3_FG009,teosinte,0.51908396946565
AC192204.3_FG005,maize,0.866666666666667
AC192204.3_FG005,teosinte,0.666666666666667
AC192362.3_FG003,maize,6.37347625052543
AC192362.3_FG003,teosinte,2.08011422412819
AC193324.3_FG002,maize,2.55621301775148
AC193324.3_FG002,teosinte,2.23686831398128
AC193335.3_FG001,maize,5.37535532710835
AC193335.3_FG001,teosinte,4.95245571086893
AC193499.3_FG007,maize,0.868615170494085
AC193499.3_FG007,teosinte,0.802922755741127
AC193500.3_FG003,maize,1.48221373752257
