"","file","feature","mc","vc","var"
"1","largedata/COMET/JRA1/chr1.txt","exon",0.173206831292656,0.0977975220645472,"V1"
"2","largedata/COMET/JRA1/chr1.txt","exon",0.158079047485852,0.0920628159544326,"V2"
"3","largedata/COMET/JRA1/chr1.txt","exon",0.146730181364117,0.0872149416297741,"V3"
"4","largedata/COMET/JRA1/chr1.txt","exon",0.144980084919603,0.0864914954724661,"V4"
"5","largedata/COMET/JRA1/chr1.txt","exon",0.1430166471687,0.0853793161629791,"V5"
"6","largedata/COMET/JRA1/chr1.txt","exon",0.140633104358687,0.0839320343718737,"V6"
"7","largedata/COMET/JRA1/chr1.txt","exon",0.146344590649639,0.0868708824871876,"V7"
"8","largedata/COMET/JRA1/chr1.txt","exon",0.151365240643162,0.0891775492747735,"V8"
"9","largedata/COMET/JRA1/chr1.txt","exon",0.159143033936552,0.092841849683486,"V9"
"10","largedata/COMET/JRA1/chr1.txt","exon",0.186212751087299,0.104389852050892,"V10"
"11","largedata/COMET/JRA1/chr1.txt","intron",0.625528738016222,0.139394963369256,"V1"
"12","largedata/COMET/JRA1/chr1.txt","intron",0.65700352111579,0.128850286241641,"V2"
"13","largedata/COMET/JRA1/chr1.txt","intron",0.685199728698144,0.117043301154753,"V3"
"14","largedata/COMET/JRA1/chr1.txt","intron",0.696743185110505,0.112368623060176,"V4"
"15","largedata/COMET/JRA1/chr1.txt","intron",0.69720087559965,0.113920473254395,"V5"
"16","largedata/COMET/JRA1/chr1.txt","intron",0.687321640284503,0.118283841969254,"V6"
"17","largedata/COMET/JRA1/chr1.txt","intron",0.695883901541678,0.112526628357905,"V7"
"18","largedata/COMET/JRA1/chr1.txt","intron",0.703056714102807,0.11144099077184,"V8"
"19","largedata/COMET/JRA1/chr1.txt","intron",0.681364356097446,0.12065457410794,"V9"
"20","largedata/COMET/JRA1/chr1.txt","intron",0.61562794659937,0.145408354108686,"V10"
"21","largedata/COMET/JRA1/chr1.txt","up1k",0.343458842689808,0.164422461885421,"V1"
"22","largedata/COMET/JRA1/chr1.txt","up1k",0.383914731582243,0.16568800714759,"V2"
"23","largedata/COMET/JRA1/chr1.txt","up1k",0.407549366683648,0.162469151414456,"V3"
"24","largedata/COMET/JRA1/chr1.txt","up1k",0.434919282648233,0.162288944207936,"V4"
"25","largedata/COMET/JRA1/chr1.txt","up1k",0.449315120526037,0.161330537311881,"V5"
"26","largedata/COMET/JRA1/chr1.txt","up1k",0.450488019566158,0.163144562531303,"V6"
"27","largedata/COMET/JRA1/chr1.txt","up1k",0.441912500864446,0.164025129340514,"V7"
"28","largedata/COMET/JRA1/chr1.txt","up1k",0.417573250156736,0.164117118330748,"V8"
"29","largedata/COMET/JRA1/chr1.txt","up1k",0.384188347989369,0.165087246545831,"V9"
"30","largedata/COMET/JRA1/chr1.txt","up1k",0.345441891767421,0.163777001143815,"V10"
"31","largedata/COMET/JRA1/chr1.txt","down1k",0.388704195936587,0.160407439839963,"V1"
"32","largedata/COMET/JRA1/chr1.txt","down1k",0.419668011518556,0.162729863461426,"V2"
"33","largedata/COMET/JRA1/chr1.txt","down1k",0.41875191479702,0.159276553533968,"V3"
"34","largedata/COMET/JRA1/chr1.txt","down1k",0.43674640529813,0.158806309159986,"V4"
"35","largedata/COMET/JRA1/chr1.txt","down1k",0.432377794169267,0.157241934171824,"V5"
"36","largedata/COMET/JRA1/chr1.txt","down1k",0.428973135972332,0.158352536892069,"V6"
"37","largedata/COMET/JRA1/chr1.txt","down1k",0.424905915774284,0.158630280025868,"V7"
"38","largedata/COMET/JRA1/chr1.txt","down1k",0.410100723166947,0.155387369472737,"V8"
"39","largedata/COMET/JRA1/chr1.txt","down1k",0.407570509061804,0.156910903380004,"V9"
"40","largedata/COMET/JRA1/chr1.txt","down1k",0.375557812074676,0.15436334167465,"V10"
"41","largedata/COMET/JRA1/chr1.txt","gene",0.201464479489776,0.114732698735528,"V1"
"42","largedata/COMET/JRA1/chr1.txt","gene",0.338104232463065,0.161842042606091,"V2"
"43","largedata/COMET/JRA1/chr1.txt","gene",0.419414875808061,0.173468527777811,"V3"
"44","largedata/COMET/JRA1/chr1.txt","gene",0.465241597350422,0.176869578350474,"V4"
"45","largedata/COMET/JRA1/chr1.txt","gene",0.487068671332611,0.176802332135951,"V5"
"46","largedata/COMET/JRA1/chr1.txt","gene",0.499014343137339,0.176034444834164,"V6"
"47","largedata/COMET/JRA1/chr1.txt","gene",0.473150662477734,0.175313460095471,"V7"
"48","largedata/COMET/JRA1/chr1.txt","gene",0.4326706593854,0.175249919300299,"V8"
"49","largedata/COMET/JRA1/chr1.txt","gene",0.338851066730084,0.162548743484791,"V9"
"50","largedata/COMET/JRA1/chr1.txt","gene",0.210941494863984,0.120576546829698,"V10"
"51","largedata/COMET/JRA1/chr1.txt","CDS",0.279210446162778,0.148349789258882,"V1"
"52","largedata/COMET/JRA1/chr1.txt","CDS",0.283101310574594,0.150669248755334,"V2"
"53","largedata/COMET/JRA1/chr1.txt","CDS",0.248513222756271,0.138015266974158,"V3"
"54","largedata/COMET/JRA1/chr1.txt","CDS",0.273971218425025,0.145978335533634,"V4"
"55","largedata/COMET/JRA1/chr1.txt","CDS",0.259603352840769,0.141913860333054,"V5"
"56","largedata/COMET/JRA1/chr1.txt","CDS",0.271025889622491,0.146227056008781,"V6"
"57","largedata/COMET/JRA1/chr1.txt","CDS",0.265780043030667,0.145108624415173,"V7"
"58","largedata/COMET/JRA1/chr1.txt","CDS",0.26430132177753,0.1447096192597,"V8"
"59","largedata/COMET/JRA1/chr1.txt","CDS",0.283531562628017,0.150269832742071,"V9"
"60","largedata/COMET/JRA1/chr1.txt","CDS",0.311944825121267,0.157742689149777,"V10"
"61","largedata/COMET/JRA2/chr1.txt","exon",0.177367016852318,0.0992626262518508,"V1"
"62","largedata/COMET/JRA2/chr1.txt","exon",0.162339948497349,0.0938822203853937,"V2"
"63","largedata/COMET/JRA2/chr1.txt","exon",0.152348529548568,0.0900909887849671,"V3"
"64","largedata/COMET/JRA2/chr1.txt","exon",0.150588694903035,0.0895817065151248,"V4"
"65","largedata/COMET/JRA2/chr1.txt","exon",0.149395472553216,0.0887238785560351,"V5"
"66","largedata/COMET/JRA2/chr1.txt","exon",0.143842356901712,0.085553894392601,"V6"
"67","largedata/COMET/JRA2/chr1.txt","exon",0.149311837343879,0.0891828396314788,"V7"
"68","largedata/COMET/JRA2/chr1.txt","exon",0.153762138934322,0.0907736044203929,"V8"
"69","largedata/COMET/JRA2/chr1.txt","exon",0.163544832602492,0.0953392861291718,"V9"
"70","largedata/COMET/JRA2/chr1.txt","exon",0.189685710686,0.106383674195124,"V10"
"71","largedata/COMET/JRA2/chr1.txt","intron",0.639324065210494,0.139773982927517,"V1"
"72","largedata/COMET/JRA2/chr1.txt","intron",0.676652537552554,0.129212335376381,"V2"
