"X","file","feature","mc","vc","var","fid","context"
1,"largedata/COMET/JRD1/chr1.txt","class=I",0.865483425816049,0.00626609138335455,"V1","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
2,"largedata/COMET/JRD1/chr1.txt","class=I",0.864584457379237,0.00527524065876957,"V2","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
3,"largedata/COMET/JRD1/chr1.txt","class=I",0.86333202651179,0.00521928928894284,"V3","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
4,"largedata/COMET/JRD1/chr1.txt","class=I",0.861840942246272,0.00524345338150392,"V4","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
5,"largedata/COMET/JRD1/chr1.txt","class=I",0.861148604496073,0.00525471766358101,"V5","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
6,"largedata/COMET/JRD1/chr1.txt","class=I",0.86086120134165,0.0052196194735279,"V6","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
7,"largedata/COMET/JRD1/chr1.txt","class=I",0.860656705072498,0.00533774935812714,"V7","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
8,"largedata/COMET/JRD1/chr1.txt","class=I",0.861862721414539,0.00524805084894685,"V8","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
9,"largedata/COMET/JRD1/chr1.txt","class=I",0.862895275507627,0.00544996653579288,"V9","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
10,"largedata/COMET/JRD1/chr1.txt","class=I",0.864389191580113,0.00602498890784715,"V10","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
11,"largedata/COMET/JRD1/chr1.txt","up1k",0.75528013063378,0.0801897113454618,"V1","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
12,"largedata/COMET/JRD1/chr1.txt","up1k",0.759184228911859,0.0780448661619861,"V2","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
13,"largedata/COMET/JRD1/chr1.txt","up1k",0.762086884111706,0.0764932855939385,"V3","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
14,"largedata/COMET/JRD1/chr1.txt","up1k",0.764225003752926,0.075292135572538,"V4","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
15,"largedata/COMET/JRD1/chr1.txt","up1k",0.768533221206927,0.0727810279786723,"V5","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
16,"largedata/COMET/JRD1/chr1.txt","up1k",0.77542350761622,0.0687682639432323,"V6","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
17,"largedata/COMET/JRD1/chr1.txt","up1k",0.785123926549448,0.0627198489162303,"V7","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
18,"largedata/COMET/JRD1/chr1.txt","up1k",0.795096346120974,0.0560145984846204,"V8","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
19,"largedata/COMET/JRD1/chr1.txt","up1k",0.805881723295615,0.0479576175496112,"V9","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
20,"largedata/COMET/JRD1/chr1.txt","up1k",0.82303278181333,0.0353839592398569,"V10","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
21,"largedata/COMET/JRD1/chr1.txt","down1k",0.821591705332248,0.0361454261255437,"V1","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
22,"largedata/COMET/JRD1/chr1.txt","down1k",0.808518398906919,0.0463886801555358,"V2","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
23,"largedata/COMET/JRD1/chr1.txt","down1k",0.79862607552736,0.0538589471205059,"V3","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
24,"largedata/COMET/JRD1/chr1.txt","down1k",0.788389029629009,0.0608171620498367,"V4","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
25,"largedata/COMET/JRD1/chr1.txt","down1k",0.777660347623026,0.067693849212024,"V5","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
26,"largedata/COMET/JRD1/chr1.txt","down1k",0.771075156752999,0.0715626428719304,"V6","largedata/lcache/CG_chr1_TE_class=I_D1.csv","CG"
